sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,target
1,0.375,0.29,0.115,0.2705,0.093,0.066,0.0885,10.0
1,0.6,0.465,0.155,1.04,0.4755,0.25,0.28,11.0
0,0.38,0.285,0.1,0.2665,0.115,0.061,0.075,11.0
2,0.44,0.345,0.13,0.4495,0.209,0.0835,0.134,6.0
1,0.605,0.455,0.145,0.9775,0.468,0.1775,0.275,9.0
0,0.59,0.5,0.2,1.187,0.412,0.2705,0.37,16.0
2,0.56,0.425,0.135,0.8205,0.3715,0.185,0.236,9.0
1,0.5,0.385,0.105,0.498,0.1795,0.1095,0.17,17.0
1,0.485,0.37,0.115,0.4785,0.1995,0.0955,0.129,7.0
1,0.615,0.475,0.155,1.115,0.484,0.2115,0.355,10.0
2,0.36,0.26,0.09,0.1785,0.0645,0.037000000000000005,0.075,7.0
1,0.635,0.5,0.15,1.376,0.6495,0.361,0.31,10.0
1,0.41,0.32,0.115,0.387,0.165,0.1005,0.0985,11.0
2,0.415,0.33,0.09,0.3595,0.17,0.081,0.09,6.0
2,0.52,0.425,0.17,0.6805,0.28,0.174,0.195,10.0
2,0.43,0.34,0.1,0.3405,0.1395,0.0665,0.12,8.0
2,0.34,0.265,0.08,0.2015,0.09,0.0475,0.055,5.0
0,0.495,0.385,0.135,0.7090000000000001,0.211,0.1375,0.262,12.0
1,0.65,0.545,0.165,1.5659999999999998,0.6645,0.3455,0.415,16.0
0,0.58,0.46,0.155,1.0335,0.469,0.2225,0.295,10.0
0,0.585,0.465,0.16,0.9555,0.4595,0.236,0.265,7.0
0,0.68,0.54,0.19,1.6230000000000002,0.7165,0.354,0.4715,12.0
0,0.385,0.285,0.105,0.2905,0.1215,0.0685,0.0875,12.0
2,0.435,0.33,0.125,0.406,0.1685,0.1055,0.096,12.0
2,0.385,0.3,0.095,0.302,0.152,0.0615,0.0735,7.0
0,0.645,0.49,0.175,1.32,0.6525,0.2375,0.3385,11.0
0,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7.0
1,0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,10.0
2,0.52,0.38,0.115,0.6645,0.3285,0.17,0.1425,7.0
0,0.49,0.39,0.14,0.7070000000000001,0.2795,0.2185,0.18,13.0
2,0.37,0.29,0.095,0.249,0.1045,0.058,0.067,6.0
2,0.505,0.39,0.15,0.685,0.362,0.131,0.156,8.0
1,0.605,0.47,0.16,1.0835,0.5405,0.2215,0.275,12.0
1,0.5,0.385,0.115,0.6785,0.2945,0.138,0.195,12.0
0,0.735,0.585,0.185,2.124,0.952,0.55,0.5,11.0
2,0.65,0.515,0.16,1.1625,0.495,0.203,0.33,17.0
2,0.24,0.175,0.055,0.0705,0.025,0.014,0.021,5.0
1,0.54,0.475,0.155,0.928,0.394,0.194,0.26,11.0
2,0.445,0.345,0.105,0.409,0.1675,0.1015,0.117,7.0
0,0.52,0.45,0.15,0.895,0.3615,0.18600000000000005,0.235,14.0
0,0.55,0.425,0.16,0.7929999999999999,0.343,0.2035,0.215,9.0
0,0.58,0.455,0.195,1.859,0.945,0.426,0.441,9.0
2,0.225,0.165,0.055,0.059,0.027000000000000003,0.0125,0.015,4.0
1,0.655,0.505,0.19,1.3485,0.5935,0.2745,0.425,12.0
1,0.48,0.4,0.125,0.759,0.2125,0.179,0.24,15.0
2,0.445,0.32,0.12,0.378,0.152,0.0825,0.12,8.0
1,0.6,0.465,0.16,1.133,0.466,0.2885,0.298,11.0
2,0.57,0.45,0.145,0.7509999999999999,0.2825,0.2195,0.2215,10.0
1,0.51,0.4,0.14,0.8145,0.459,0.1965,0.195,10.0
1,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,9.0
0,0.37,0.28,0.105,0.234,0.0905,0.0585,0.075,9.0
2,0.385,0.3,0.09,0.247,0.1225,0.044,0.0675,5.0
2,0.42,0.31,0.095,0.279,0.1255,0.051,0.08800000000000001,6.0
0,0.58,0.45,0.12,0.8685,0.418,0.1475,0.2605,8.0
1,0.67,0.585,0.16,1.3090000000000002,0.5445,0.2945,0.413,10.0
0,0.775,0.63,0.25,2.7795,1.3485,0.76,0.578,12.0
0,0.575,0.475,0.16,1.114,0.4955,0.2745,0.29,9.0
2,0.405,0.305,0.09,0.2825,0.114,0.0575,0.095,7.0
0,0.545,0.41,0.14,0.625,0.223,0.16,0.235,13.0
1,0.625,0.47,0.145,0.984,0.475,0.2,0.265,11.0
1,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,13.0
1,0.62,0.5,0.15,1.293,0.596,0.3135,0.354,10.0
0,0.55,0.415,0.175,1.042,0.3295,0.2325,0.2905,15.0
0,0.445,0.35,0.115,0.3615,0.1565,0.0695,0.117,8.0
2,0.45,0.345,0.11,0.47,0.2355,0.0855,0.1135,7.0
0,0.575,0.445,0.16,0.8390000000000001,0.4005,0.198,0.239,9.0
1,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,20.0
0,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,12.0
1,0.48,0.385,0.135,0.536,0.1895,0.142,0.173,14.0
2,0.54,0.395,0.135,0.6555,0.2705,0.155,0.192,9.0
1,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19.0
1,0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,5.0
0,0.535,0.41,0.135,0.862,0.2855,0.1525,0.32,14.0
0,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,14.0
0,0.58,0.455,0.17,0.93,0.408,0.259,0.22,9.0
2,0.185,0.375,0.12,0.4645,0.196,0.1045,0.15,6.0
0,0.59,0.475,0.165,1.077,0.4545,0.244,0.3095,9.0
1,0.62,0.51,0.205,1.3475,0.4775,0.2565,0.48,14.0
0,0.635,0.51,0.185,1.308,0.544,0.318,0.377,8.0
2,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,7.0
2,0.32,0.225,0.085,0.1415,0.0675,0.0295,0.0405,6.0
1,0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18,8.0
0,0.605,0.475,0.145,0.884,0.3835,0.1905,0.27,8.0
1,0.53,0.425,0.13,0.7585,0.325,0.197,0.205,8.0
0,0.63,0.48,0.15,1.271,0.6605,0.2425,0.31,11.0
0,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9.0
2,0.505,0.4,0.145,0.7045,0.334,0.1425,0.207,8.0
1,0.7,0.545,0.13,1.556,0.6725,0.374,0.195,12.0
2,0.61,0.475,0.15,0.9665,0.4145,0.2,0.345,10.0
0,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,11.0
2,0.205,0.14,0.05,0.046,0.0165,0.012,0.0135,6.0
0,0.46,0.38,0.135,0.482,0.207,0.1225,0.145,10.0
1,0.745,0.57,0.215,2.25,1.1565,0.446,0.5579999999999999,9.0
1,0.58,0.45,0.145,1.137,0.5585,0.22,0.29,8.0
0,0.575,0.435,0.14,0.8455,0.401,0.191,0.222,9.0
1,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,14.0
2,0.29,0.205,0.07,0.0975,0.036000000000000004,0.019,0.035,8.0
0,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,9.0
0,0.615,0.525,0.155,1.1375,0.3670000000000001,0.236,0.37,20.0
0,0.55,0.44,0.135,0.879,0.368,0.2095,0.265,10.0
0,0.565,0.455,0.185,0.9265,0.354,0.1575,0.375,16.0
