sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,target
2,0.475,0.375,0.115,0.5205,0.233,0.119,0.1455,7.0
2,0.575,0.45,0.17,0.9315,0.358,0.2145,0.26,13.0
2,0.52,0.38,0.14,0.525,0.1775,0.115,0.185,11.0
0,0.57,0.475,0.195,1.0295,0.4635,0.1905,0.305,18.0
1,0.56,0.43,0.125,0.8025,0.313,0.1715,0.263,13.0
2,0.43,0.325,0.105,0.309,0.119,0.08,0.098,6.0
0,0.695,0.55,0.22,1.5515,0.5660000000000001,0.3835,0.445,13.0
0,0.58,0.465,0.15,0.9065,0.371,0.1965,0.29,8.0
2,0.385,0.285,0.085,0.244,0.1215,0.0445,0.068,8.0
2,0.55,0.42,0.155,0.912,0.495,0.1805,0.205,9.0
1,0.66,0.505,0.19,1.4045,0.6255,0.3375,0.3745,9.0
1,0.49,0.38,0.155,0.578,0.2395,0.1255,0.18,9.0
0,0.65,0.505,0.17,1.5595,0.695,0.3515,0.395,11.0
1,0.65,0.525,0.19,1.385,0.8875,0.3095,0.405,11.0
0,0.515,0.405,0.14,0.8505,0.312,0.146,0.315,17.0
1,0.64,0.5,0.18,1.4995,0.593,0.314,0.431,11.0
1,0.63,0.495,0.2,1.4255,0.659,0.336,0.38,11.0
2,0.475,0.35,0.115,0.498,0.2375,0.099,0.14,7.0
1,0.59,0.415,0.15,0.8805,0.3645,0.234,0.235,11.0
0,0.655,0.515,0.2,1.3730000000000002,0.443,0.3375,0.49,16.0
0,0.565,0.445,0.14,0.836,0.406,0.1605,0.2245,9.0
1,0.37,0.295,0.1,0.2685,0.1165,0.056,0.0835,7.0
1,0.58,0.475,0.165,1.0385,0.414,0.26,0.305,13.0
2,0.355,0.27,0.1,0.2255,0.11,0.042,0.064,7.0
2,0.33,0.25,0.075,0.1405,0.056,0.035,0.05,5.0
1,0.475,0.35,0.115,0.487,0.194,0.1455,0.125,13.0
0,0.47,0.37,0.135,0.547,0.222,0.1325,0.17,12.0
0,0.58,0.46,0.18,1.145,0.48,0.277,0.325,11.0
0,0.58,0.44,0.175,1.2255,0.5405,0.2705,0.3265,10.0
2,0.5,0.38,0.135,0.5285,0.226,0.123,0.209,8.0
2,0.565,0.43,0.15,0.8215,0.332,0.1685,0.29,11.0
0,0.44,0.325,0.08,0.413,0.14400000000000002,0.1015,0.13,8.0
2,0.255,0.185,0.07,0.075,0.028,0.018000000000000002,0.025,6.0
0,0.62,0.48,0.165,1.0855,0.481,0.2575,0.305,10.0
1,0.445,0.335,0.14,0.4565,0.1785,0.114,0.14,11.0
1,0.655,0.545,0.185,1.759,0.6865,0.313,0.547,11.0
1,0.725,0.56,0.185,1.7919999999999998,0.873,0.3670000000000001,0.435,11.0
0,0.615,0.475,0.175,1.103,0.4635,0.3095,0.2725,10.0
2,0.17,0.105,0.035,0.034,0.012,0.0085,0.005,4.0
2,0.14,0.105,0.035,0.0145,0.005,0.0035,0.005,4.0
2,0.495,0.385,0.125,0.585,0.2755,0.1235,0.165,8.0
2,0.61,0.46,0.17,1.278,0.41,0.257,0.37,17.0
2,0.385,0.29,0.1,0.2575,0.1,0.061,0.086,6.0
1,0.655,0.54,0.175,1.5585,0.7285,0.402,0.385,11.0
1,0.655,0.545,0.165,1.6225,0.6555,0.299,0.513,12.0
0,0.63,0.505,0.175,1.221,0.555,0.252,0.34,12.0
1,0.67,0.52,0.195,1.8065,0.758,0.3735,0.5055,11.0
0,0.345,0.265,0.09,0.163,0.0615,0.037000000000000005,0.0485,10.0
1,0.625,0.525,0.215,1.5765,0.5115,0.2595,0.665,16.0
2,0.56,0.435,0.135,0.72,0.329,0.103,0.251,11.0
1,0.585,0.455,0.17,0.9945,0.4255,0.263,0.2845,11.0
2,0.46,0.345,0.115,0.4215,0.1895,0.102,0.111,6.0
2,0.495,0.375,0.12,0.614,0.2855,0.1365,0.161,8.0
2,0.5,0.385,0.11,0.596,0.3015,0.104,0.151,8.0
0,0.67,0.52,0.19,1.6385,0.8115,0.369,0.391,9.0
0,0.53,0.41,0.14,0.6809999999999999,0.3095,0.1415,0.1835,6.0
0,0.67,0.525,0.18,1.4915,0.728,0.343,0.381,9.0
2,0.485,0.375,0.13,0.5535,0.266,0.112,0.157,8.0
2,0.725,0.55,0.22,2.0495,0.7735,0.4405,0.655,10.0
1,0.65,0.515,0.215,1.4980000000000002,0.564,0.32299999999999995,0.425,16.0
2,0.5,0.37,0.12,0.5445,0.249,0.1065,0.152,8.0
0,0.335,0.265,0.095,0.1975,0.0795,0.0375,0.07,9.0
2,0.4,0.31,0.115,0.314,0.1545,0.0595,0.087,6.0
0,0.675,0.51,0.17,1.527,0.809,0.318,0.341,11.0
0,0.64,0.49,0.14,1.194,0.4445,0.238,0.375,15.0
1,0.475,0.375,0.15,0.5589999999999999,0.1955,0.1215,0.1945,12.0
0,0.63,0.53,0.175,1.4135,0.667,0.2945,0.3555,13.0
2,0.33,0.23,0.08,0.14,0.0565,0.0365,0.046,7.0
1,0.535,0.425,0.155,0.7765,0.302,0.1565,0.25,16.0
0,0.45,0.335,0.14,0.478,0.1865,0.115,0.16,11.0
0,0.53,0.435,0.135,0.7365,0.3275,0.1315,0.22,12.0
1,0.565,0.48,0.175,0.957,0.3885,0.215,0.275,18.0
0,0.52,0.425,0.125,0.79,0.3720000000000001,0.205,0.19,8.0
1,0.65,0.475,0.165,1.3875,0.58,0.3485,0.3095,9.0
2,0.435,0.335,0.105,0.3535,0.156,0.05,0.1135,7.0
0,0.645,0.495,0.185,1.4935,0.5265,0.2785,0.455,15.0
2,0.52,0.4,0.14,0.622,0.278,0.1455,0.16899999999999998,8.0
0,0.5,0.385,0.12,0.6335,0.2305,0.125,0.235,14.0
2,0.505,0.425,0.125,0.6115,0.245,0.1375,0.2,9.0
0,0.29,0.225,0.08,0.1295,0.0535,0.026,0.045,10.0
0,0.53,0.425,0.155,0.7905,0.307,0.171,0.2595,9.0
1,0.72,0.575,0.215,2.226,0.8955,0.405,0.62,13.0
2,0.42,0.31,0.1,0.2865,0.115,0.0735,0.085,8.0
0,0.55,0.43,0.16,0.9295,0.317,0.1735,0.355,13.0
2,0.485,0.415,0.14,0.5705,0.25,0.134,0.185,8.0
0,0.56,0.425,0.135,0.9415,0.509,0.2015,0.1975,9.0
1,0.645,0.52,0.19,1.3105,0.58,0.28800000000000003,0.37,12.0
0,0.57,0.42,0.155,1.008,0.377,0.193,0.34,13.0
2,0.43,0.35,0.105,0.366,0.1705,0.0855,0.11,6.0
0,0.28,0.21,0.065,0.0905,0.035,0.02,0.03,5.0
2,0.475,0.365,0.105,0.4175,0.1645,0.099,0.127,7.0
