sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,target
1,0.585,0.47,0.17,1.099,0.3975,0.2325,0.358,20.0
1,0.495,0.385,0.135,0.6625,0.3005,0.1635,0.185,11.0
1,0.65,0.545,0.185,1.5055,0.6565,0.341,0.43,10.0
1,0.65,0.495,0.16,1.3105,0.5770000000000001,0.3315,0.355,9.0
1,0.43,0.325,0.12,0.445,0.165,0.0995,0.155,8.0
2,0.41,0.305,0.1,0.2645,0.1,0.0655,0.085,7.0
1,0.61,0.5,0.18,1.4380000000000002,0.5185,0.3735,0.3345,9.0
0,0.625,0.47,0.145,1.7855,0.675,0.247,0.3245,13.0
1,0.49,0.37,0.115,0.541,0.171,0.1175,0.185,11.0
1,0.645,0.525,0.2,1.449,0.601,0.2565,0.505,13.0
0,0.59,0.465,0.14,1.046,0.4695,0.263,0.263,7.0
1,0.615,0.515,0.135,1.1215,0.545,0.2305,0.29,9.0
0,0.165,0.125,0.04,0.0245,0.0095,0.0045,0.008,4.0
1,0.545,0.445,0.175,0.8525,0.3465,0.18899999999999997,0.295,13.0
0,0.655,0.59,0.2,1.5455,0.654,0.3765,0.415,11.0
1,0.465,0.35,0.11,0.4085,0.165,0.102,0.131,8.0
0,0.5,0.38,0.12,0.5765,0.273,0.135,0.145,9.0
0,0.35,0.265,0.09,0.19699999999999998,0.073,0.0365,0.077,7.0
0,0.49,0.395,0.135,0.5545,0.213,0.0925,0.215,14.0
2,0.56,0.42,0.14,0.8370000000000001,0.414,0.214,0.2,8.0
1,0.58,0.44,0.175,1.073,0.4005,0.2345,0.335,19.0
0,0.505,0.4,0.15,0.775,0.3445,0.157,0.185,7.0
0,0.575,0.45,0.16,0.955,0.44,0.1685,0.27,16.0
1,0.38,0.32,0.115,0.6475,0.32299999999999995,0.1325,0.16399999999999998,7.0
1,0.605,0.465,0.155,1.1,0.547,0.2665,0.2585,10.0
1,0.55,0.415,0.135,0.775,0.302,0.179,0.26,23.0
2,0.35,0.265,0.08,0.192,0.081,0.0465,0.053,6.0
