image,target
hsf_0_00479.png,J
hsf_0_00486.png,J
hsf_0_00492.png,J
hsf_0_00493.png,J
hsf_0_00487.png,J
hsf_0_00478.png,J
hsf_0_00491.png,J
hsf_0_00485.png,J
hsf_0_00484.png,J
hsf_0_00490.png,J
hsf_0_00494.png,J
hsf_0_00480.png,J
hsf_0_00481.png,J
hsf_0_00495.png,J
hsf_0_00483.png,J
hsf_0_00497.png,J
hsf_0_00496.png,J
hsf_0_00482.png,J
hsf_0_00504.png,J
hsf_0_00505.png,J
hsf_0_00498.png,J
hsf_0_00499.png,J
hsf_0_00476.png,J
hsf_0_00489.png,J
hsf_0_00502.png,J
hsf_0_00503.png,J
hsf_0_00488.png,J
hsf_0_00477.png,J
hsf_0_00501.png,J
hsf_0_00500.png,J
hsf_0_00397.png,K
hsf_0_00396.png,K
hsf_0_00394.png,K
hsf_0_00395.png,K
hsf_0_00408.png,K
hsf_0_00391.png,K
hsf_0_00390.png,K
hsf_0_00409.png,K
hsf_0_00386.png,K
hsf_0_00392.png,K
hsf_0_00393.png,K
hsf_0_00387.png,K
hsf_0_00407.png,K
hsf_0_00413.png,K
hsf_0_00412.png,K
hsf_0_00406.png,K
hsf_0_00410.png,K
hsf_0_00404.png,K
hsf_0_00389.png,K
hsf_0_00388.png,K
hsf_0_00405.png,K
hsf_0_00411.png,K
hsf_0_00401.png,K
hsf_0_00398.png,K
hsf_0_00399.png,K
hsf_0_00400.png,K
hsf_0_00414.png,K
hsf_0_00402.png,K
hsf_0_00403.png,K
hsf_0_00069.png,L
hsf_0_00082.png,L
hsf_0_00083.png,L
hsf_0_00068.png,L
hsf_0_00081.png,L
hsf_0_00080.png,L
hsf_0_00084.png,L
hsf_0_00090.png,L
hsf_0_00091.png,L
hsf_0_00085.png,L
hsf_0_00078.png,L
hsf_0_00087.png,L
hsf_0_00086.png,L
hsf_0_00092.png,L
hsf_0_00079.png,L
hsf_0_00074.png,L
hsf_0_00075.png,L
hsf_0_00063.png,L
hsf_0_00077.png,L
hsf_0_00088.png,L
hsf_0_00089.png,L
hsf_0_00076.png,L
hsf_0_00066.png,L
hsf_0_00072.png,L
hsf_0_00073.png,L
hsf_0_00067.png,L
hsf_0_00071.png,L
hsf_0_00065.png,L
hsf_0_00064.png,L
hsf_0_00070.png,L
