image,target
ILSVRC2012_val_00019414.JPEG,n02102040
ILSVRC2012_val_00015499.JPEG,n02102040
ILSVRC2012_val_00004553.JPEG,n02102040
ILSVRC2012_val_00015694.JPEG,n02102040
ILSVRC2012_val_00021016.JPEG,n02102040
ILSVRC2012_val_00004548.JPEG,n02102040
ILSVRC2012_val_00010994.JPEG,n02102040
ILSVRC2012_val_00014125.JPEG,n02102040
ILSVRC2012_val_00000665.JPEG,n02102040
ILSVRC2012_val_00007568.JPEG,n02102040
ILSVRC2012_val_00016768.JPEG,n02102040
ILSVRC2012_val_00002315.JPEG,n02102040
ILSVRC2012_val_00021205.JPEG,n02102040
ILSVRC2012_val_00018207.JPEG,n02102040
ILSVRC2012_val_00016833.JPEG,n02102040
ILSVRC2012_val_00017664.JPEG,n02102040
ILSVRC2012_val_00001968.JPEG,n02102040
ILSVRC2012_val_00002294.JPEG,n02102040
ILSVRC2012_val_00008334.JPEG,n02102040
ILSVRC2012_val_00012689.JPEG,n02102040
ILSVRC2012_val_00018317.JPEG,n01440764
ILSVRC2012_val_00011233.JPEG,n01440764
ILSVRC2012_val_00011993.JPEG,n01440764
ILSVRC2012_val_00024235.JPEG,n01440764
ILSVRC2012_val_00013716.JPEG,n01440764
ILSVRC2012_val_00003014.JPEG,n01440764
ILSVRC2012_val_00007197.JPEG,n01440764
ILSVRC2012_val_00010306.JPEG,n01440764
ILSVRC2012_val_00017699.JPEG,n01440764
ILSVRC2012_val_00009346.JPEG,n01440764
ILSVRC2012_val_00023559.JPEG,n01440764
ILSVRC2012_val_00002138.JPEG,n01440764
ILSVRC2012_val_00006697.JPEG,n01440764
ILSVRC2012_val_00016018.JPEG,n01440764
ILSVRC2012_val_00009379.JPEG,n01440764
ILSVRC2012_val_00009396.JPEG,n01440764
ILSVRC2012_val_00012503.JPEG,n01440764
ILSVRC2012_val_00000293.JPEG,n01440764
ILSVRC2012_val_00017995.JPEG,n01440764
ILSVRC2012_val_00002034.JPEG,n02979186
ILSVRC2012_val_00012468.JPEG,n02979186
ILSVRC2012_val_00017775.JPEG,n02979186
ILSVRC2012_val_00000557.JPEG,n02979186
ILSVRC2012_val_00027673.JPEG,n02979186
ILSVRC2012_val_00024874.JPEG,n02979186
ILSVRC2012_val_00005866.JPEG,n02979186
ILSVRC2012_val_00007226.JPEG,n02979186
ILSVRC2012_val_00009404.JPEG,n02979186
ILSVRC2012_val_00009833.JPEG,n02979186
ILSVRC2012_val_00006787.JPEG,n02979186
ILSVRC2012_val_00017463.JPEG,n02979186
ILSVRC2012_val_00003944.JPEG,n02979186
ILSVRC2012_val_00018559.JPEG,n02979186
ILSVRC2012_val_00025484.JPEG,n02979186
ILSVRC2012_val_00013735.JPEG,n02979186
ILSVRC2012_val_00023674.JPEG,n02979186
ILSVRC2012_val_00014287.JPEG,n02979186
ILSVRC2012_val_00016648.JPEG,n02979186
