image,target
ILSVRC2012_val_00037182.JPEG,n02102040
n02102040_201.JPEG,n02102040
n02102040_132.JPEG,n02102040
n02102040_142.JPEG,n02102040
ILSVRC2012_val_00036282.JPEG,n02102040
n02102040_182.JPEG,n02102040
ILSVRC2012_val_00040140.JPEG,n02102040
n02102040_150.JPEG,n02102040
n02102040_202.JPEG,n02102040
n02102040_30.JPEG,n02102040
n02102040_171.JPEG,n02102040
n01440764_341.JPEG,n01440764
n01440764_320.JPEG,n01440764
n01440764_622.JPEG,n01440764
n01440764_710.JPEG,n01440764
n01440764_490.JPEG,n01440764
n01440764_522.JPEG,n01440764
n01440764_261.JPEG,n01440764
n01440764_200.JPEG,n01440764
n01440764_650.JPEG,n01440764
n01440764_451.JPEG,n01440764
n01440764_752.JPEG,n01440764
n01440764_292.JPEG,n01440764
n01440764_421.JPEG,n01440764
n01440764_600.JPEG,n01440764
n02979186_491.JPEG,n02979186
n02979186_560.JPEG,n02979186
n02979186_280.JPEG,n02979186
n02979186_351.JPEG,n02979186
n02979186_442.JPEG,n02979186
n02979186_140.JPEG,n02979186
n02979186_510.JPEG,n02979186
n02979186_40.JPEG,n02979186
n02979186_482.JPEG,n02979186
n02979186_162.JPEG,n02979186
n02979186_271.JPEG,n02979186
n02979186_260.JPEG,n02979186
n02979186_562.JPEG,n02979186
n02979186_70.JPEG,n02979186
