image,target
n02102040_580.JPEG,n02102040
n02102040_610.JPEG,n02102040
n02102040_562.JPEG,n02102040
n02102040_621.JPEG,n02102040
n02102040_620.JPEG,n02102040
n02102040_460.JPEG,n02102040
n02102040_551.JPEG,n02102040
n02102040_571.JPEG,n02102040
n02102040_602.JPEG,n02102040
n02102040_491.JPEG,n02102040
n02102040_521.JPEG,n02102040
n01440764_2121.JPEG,n01440764
n01440764_2290.JPEG,n01440764
n01440764_2751.JPEG,n01440764
n01440764_2490.JPEG,n01440764
n01440764_2920.JPEG,n01440764
n01440764_2921.JPEG,n01440764
n01440764_2690.JPEG,n01440764
n01440764_2002.JPEG,n01440764
n01440764_2742.JPEG,n01440764
n01440764_2001.JPEG,n01440764
n01440764_2221.JPEG,n01440764
n01440764_2162.JPEG,n01440764
n01440764_2271.JPEG,n01440764
n01440764_2102.JPEG,n01440764
n02979186_1792.JPEG,n02979186
n02979186_1632.JPEG,n02979186
n02979186_1561.JPEG,n02979186
n02979186_1630.JPEG,n02979186
n02979186_1692.JPEG,n02979186
n02979186_1450.JPEG,n02979186
n02979186_1542.JPEG,n02979186
n02979186_1810.JPEG,n02979186
n02979186_1611.JPEG,n02979186
n02979186_1401.JPEG,n02979186
n02979186_1621.JPEG,n02979186
n02979186_1841.JPEG,n02979186
