target,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
42,0.006836,0.000977,0.000977,0.047852,0.0,0.004883,0.010742,0.001953,0.014648,0.047852,0.073242,0.0,0.00293,0.028319999999999998,0.0,0.0,0.001953,0.0,0.023438,0.006836,0.0,0.038086,0.003906,0.000977,0.008789,0.022461000000000002,0.040039,0.0,0.039062,0.003906,0.050781,0.0,0.020508000000000002,0.0,0.006836,0.0,0.003906,0.00293,0.051758000000000005,0.011719,0.039062,0.004883,0.051758000000000005,0.003906,0.000977,0.0,0.042969,0.0,0.014648,0.064453,0.018555000000000002,0.006836,0.028319999999999998,0.032227,0.0,0.0,0.001953,0.011719,0.023438,0.0,0.0,0.042969,0.016602000000000002,0.015625
61,0.0,0.14745999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000977,0.0,0.000977,0.0,0.0,0.0,0.043945,0.007812,0.004883,0.0,0.0,0.0,0.048827999999999996,0.012695,0.0,0.16113,0.0,0.0,0.027344,0.001953,0.20605,0.0,0.0,0.0,0.0,0.0,0.013672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009766,0.00293,0.0,0.0,0.026367,0.11035,0.0,0.0,0.0,0.075195,0.080078,0.0,0.0,0.017578,0.0,0.0
53,0.0,0.009766,0.0,0.084961,0.0,0.001953,0.003906,0.0,0.011719,0.041016000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.029297000000000004,0.001953,0.16309,0.0,0.0,0.0,0.012695,0.099609,0.0058590000000000005,0.014648,0.0,0.0,0.006836,0.007812,0.009766,0.0,0.081055,0.0,0.0,0.0,0.071289,0.0,0.001953,0.078125,0.0,0.0,0.000977,0.0,0.007812,0.0,0.007812,0.0,0.011719,0.000977,0.0,0.0,0.12793,0.052734,0.0,0.0,0.0,0.011719,0.039062,0.0,0.0,0.000977,0.0,0.000977
10,0.0,0.078125,0.042969,0.0,0.038086,0.022461000000000002,0.004883,0.080078,0.035156,0.0,0.0,0.0,0.019531,0.0,0.0,0.0,0.13867000000000002,0.017578,0.0,0.076172,0.0,0.0,0.041992,0.0,0.0,0.0,0.000977,0.040039,0.006836,0.028319999999999998,0.010742,0.0,0.0,0.016602000000000002,0.025391,0.0,0.0,0.050781,0.0,0.0,0.0,0.0,0.0,0.0,0.027344,0.059570000000000005,0.018555000000000002,0.007812,0.003906,0.000977,0.0,0.0,0.0,0.000977,0.011719,0.0,0.06543,0.0,0.021484,0.0,0.0,0.0,0.0,0.006836
78,0.0,0.003906,0.0,0.004883,0.0,0.0,0.0,0.0,0.001953,0.0,0.057616999999999995,0.0,0.006836,0.003906,0.004883,0.013672,0.00293,0.0,0.021484,0.000977,0.016602000000000002,0.027344,0.016602000000000002,0.028319999999999998,0.0,0.041992,0.0,0.0,0.020508000000000002,0.003906,0.052734,0.078125,0.0,0.0,0.000977,0.046875,0.000977,0.0,0.0,0.000977,0.0,0.015625,0.0,0.0,0.016602000000000002,0.0,0.003906,0.0,0.026367,0.008789,0.10254,0.016602000000000002,0.007812,0.081055,0.0,0.1582,0.0,0.020508000000000002,0.010742,0.0,0.009766,0.056641,0.0058590000000000005,0.0
48,0.018555000000000002,0.00293,0.023438,0.004883,0.06543,0.0,0.012695,0.022461000000000002,0.00293,0.0,0.014648,0.00293,0.012695,0.011719,0.0,0.021484,0.0,0.001953,0.006836,0.006836,0.009766,0.004883,0.016602000000000002,0.000977,0.0,0.0,0.006836,0.036133,0.042969,0.025391,0.068359,0.012695,0.0,0.028319999999999998,0.025391,0.000977,0.0,0.055664,0.00293,0.003906,0.0,0.010742,0.017578,0.024413999999999998,0.036133,0.053711,0.036133,0.047852,0.020508000000000002,0.0058590000000000005,0.0,0.051758000000000005,0.001953,0.039062,0.040039,0.0,0.013672,0.0,0.0058590000000000005,0.0,0.0,0.003906,0.008789,0.007812
38,0.010742,0.026367,0.027344,0.0,0.13280999999999998,0.003906,0.003906,0.06640599999999999,0.007812,0.0,0.0,0.003906,0.000977,0.0,0.0,0.0,0.052734,0.023438,0.000977,0.033202999999999996,0.0,0.0,0.010742,0.0,0.0,0.0,0.000977,0.06543,0.0,0.018555000000000002,0.0,0.0,0.0,0.12598,0.03125,0.0,0.0,0.051758000000000005,0.0,0.000977,0.0,0.0,0.000977,0.007812,0.0058590000000000005,0.12891,0.0,0.021484,0.0,0.0,0.0,0.0,0.0,0.0,0.099609,0.0,0.020508000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.014648
99,0.000977,0.001953,0.006836,0.009766,0.033202999999999996,0.00293,0.033202999999999996,0.0058590000000000005,0.042969,0.000977,0.0058590000000000005,0.000977,0.0,0.0,0.0,0.0,0.014648,0.0,0.040039,0.008789,0.0,0.0,0.015625,0.0,0.0058590000000000005,0.001953,0.053711,0.003906,0.056641,0.000977,0.086914,0.0,0.0,0.033202999999999996,0.003906,0.0,0.0,0.038086,0.010742,0.006836,0.0,0.0,0.021484,0.12793,0.008789,0.021484,0.03418,0.029297000000000004,0.004883,0.016602000000000002,0.0,0.0,0.000977,0.083984,0.07910199999999999,0.0,0.00293,0.0,0.011719,0.0,0.0,0.016602000000000002,0.0,0.012695
64,0.010742,0.001953,0.018555000000000002,0.008789,0.0058590000000000005,0.0,0.004883,0.017578,0.00293,0.008789,0.004883,0.0,0.027344,0.007812,0.0,0.003906,0.0,0.030273,0.010742,0.015625,0.023438,0.022461000000000002,0.000977,0.004883,0.037108999999999996,0.003906,0.014648,0.012695,0.009766,0.03418,0.008789,0.069336,0.0,0.006836,0.024413999999999998,0.10547000000000001,0.0,0.003906,0.028319999999999998,0.026367,0.009766,0.029297000000000004,0.047852,0.003906,0.00293,0.015625,0.011719,0.001953,0.027344,0.014648,0.014648,0.029297000000000004,0.004883,0.003906,0.0,0.010742,0.008789,0.011719,0.024413999999999998,0.0,0.05859400000000001,0.003906,0.000977,0.044922000000000004
12,0.006836,0.0,0.011719,0.028319999999999998,0.019531,0.000977,0.021484,0.011719,0.0,0.022461000000000002,0.07910199999999999,0.000977,0.001953,0.019531,0.00293,0.0,0.0,0.00293,0.026367,0.008789,0.0,0.018555000000000002,0.00293,0.013672,0.008789,0.029297000000000004,0.023438,0.008789,0.008789,0.008789,0.011719,0.006836,0.009766,0.021484,0.012695,0.0,0.006836,0.030273,0.024413999999999998,0.014648,0.008789,0.00293,0.024413999999999998,0.022461000000000002,0.0058590000000000005,0.009766,0.024413999999999998,0.003906,0.007812,0.003906,0.11133,0.014648,0.035156,0.025391,0.017578,0.048827999999999996,0.001953,0.020508000000000002,0.011719,0.004883,0.0,0.041992,0.008789,0.015625
